,nv_8x8_b1_dat-524288_wt-32768_int8,nv_8x8_b1_dat-1048576_wt-65536_int16,nv_8x16_b1_dat-2097152_wt-262144_int32,nv_16x16_b1_dat-524288_wt-65536_int8,nv_32x16_b1_dat-1048576_wt-131072_int16,nv_32x8_b1_dat-2097152_wt-131072_int32,nv_16x32_b1_dat-524288_wt-131072_int8,nv_32x32_b1_dat-1048576_wt-262144_int16,nv_32x32_b1_dat-2097152_wt-524288_int32
backbone.conv1,0.7825,0.997,0.997,0.8024087142712666,0.6180373299582735,0.9764207169061014,0.9023016486532267,0.4720214659901625,0.5286243642230428
backbone.layer1.0.conv1,0.2835,0.31689342872411713,0.1771268035679229,0.07333514432333132,0.4159336295038465,0.09791004695223024,0.541836241686209,0.0,0.3161099259182709
backbone.layer1.0.conv2,0.3131,0.0,0.6433047229245452,0.22703445987817486,0.5230723833567072,0.04449460998114735,0.5646055083109217,0.45725939862249043,0.18452317025386267
backbone.layer1.0.conv3,0.0644,0.05646751616043376,0.06312223698094697,0.0,0.0,0.0,0.35360352764294495,0.0,0.0
backbone.layer1.0.downsample.0,0.3038,0.19240020111339054,0.16770130808234096,0.5263126172628529,0.48704708401442953,0.35475895595511864,0.0,0.07891658275887414,0.5514680487765163
backbone.layer1.1.conv1,0.2198,0.47673145660865884,0.24235388834347787,0.28911968505648994,0.023484263809184863,0.29387143354662565,0.10522879833846566,0.4221803463659786,0.11005959790857275
backbone.layer1.1.conv2,0.3246,0.2748388812258327,0.31964573326019247,0.007068308068184981,0.1804687729874197,0.4783742225698779,0.1267455445418,0.10453727019558645,0.4712189360993139
backbone.layer1.1.conv3,0.0508,0.0615026152525253,0.2025894552035457,0.0,0.32089297269980543,0.0,0.0,0.0,0.2274599292230408
backbone.layer1.2.conv1,0.1536,0.029554791552617254,0.14393195819951302,0.0,0.39642029188349714,0.008028301574033975,0.4335136912635009,0.07298886847745195,0.0
backbone.layer1.2.conv2,0.2992,0.47176508597500594,0.16384237514592045,0.4129017451770057,0.13264294911588403,0.32634010561387294,0.2536508257019164,0.39852123452513266,0.6221290965497488
backbone.layer1.2.conv3,0.04,0.0,0.3075708418796742,0.2197145354152145,0.0,0.19974121142314846,0.0,0.19276115199082103,0.0
backbone.layer2.0.conv1,0.0931,0.018665273764658083,0.0,0.0,0.1268248269655689,0.2497266902525619,0.1963697028835078,0.10438381675331658,0.36180683592892227
backbone.layer2.0.conv2,0.1199,0.0,0.01658716891911427,0.2745649456806779,0.0,0.4302495911942709,0.0,0.0,0.0
backbone.layer2.0.conv3,0.5467,0.46712207388406873,0.8709207853823078,0.5639626624003602,0.28827202817675596,0.6676312519114911,0.32401727398826813,0.6306434429589096,0.5544034164133267
backbone.layer2.0.downsample.0,0.0896,0.15526544475482001,0.2780366309827564,0.3010900302157568,0.41611101481051654,0.018986070666599672,0.20648573298289047,0.0,0.16664823319636618
backbone.layer2.1.conv1,0.0871,0.0,0.0,0.0,0.36752049306085965,0.0,0.0,0.3742676729508023,0.07860472316438254
backbone.layer2.1.conv2,0.103,0.4328621288902454,0.2190958556215245,0.0,0.0499495789428724,0.38955599353820586,0.4317777350647754,0.05838959195709177,0.27660511298125307
backbone.layer2.1.conv3,0.5424,0.8154613671162754,0.8524129730240655,0.24120726862392833,0.5442855933809496,0.7197728666918608,0.8520083879608575,0.7877200653567025,0.4442211021881709
backbone.layer2.2.conv1,0.1242,0.31499920478539656,0.08728707188640564,0.29131946229842487,0.2398605917592572,0.0,0.3189125067667833,0.054700989913914116,0.2362202559649723
backbone.layer2.2.conv2,0.0748,0.05658931458895236,0.0,0.0,0.0,0.0,0.0,0.2453912719045198,0.1718371743532193
backbone.layer2.2.conv3,0.5523,0.4261104953101922,0.5925165068129872,0.5702239843538423,0.8797354722960493,0.29266450986765113,0.8814923570466411,0.7247448765112894,0.6081369690914068
backbone.layer2.3.conv1,0.1189,0.2553125288474994,0.0,0.22906171957849925,0.20253215672321573,0.0,0.10089492682005835,0.44124657328400635,0.15991411731872934
backbone.layer2.3.conv2,0.1359,0.0,0.078478471578915,0.03121040268071773,0.32387924916634614,0.14737782534105667,0.46527376021909606,0.0,0.0
backbone.layer2.3.conv3,0.5617,0.8334140399811498,0.6907324187414403,0.6512127545857731,0.4187124552183727,0.4410446359385456,0.3469992023215081,0.24837641715436926,0.45296605861368594
backbone.layer3.0.conv1,0.133,0.0,0.3729720986238287,0.0,0.0,0.143870872329743,0.45728726871237874,0.18304564175046367,0.08783210173791656
backbone.layer3.0.conv2,0.0696,0.3291848493890703,0.3361471716681533,0.0,0.15182651356087967,0.0,0.0,0.0806397322291793,0.0
backbone.layer3.0.conv3,0.0107,0.0,0.0,0.0,0.0,0.3305459846354961,0.0,0.05590366723134339,0.0
backbone.layer3.0.downsample.0,0.1242,0.43720933397584405,0.36151563389525265,0.22732949754600604,0.45088693779307865,0.36134102497777953,0.438794981317861,0.205509613909184,0.2610664051840975
backbone.layer3.1.conv1,0.0417,0.0,0.10708719836021229,0.0,0.0,0.0,0.29452440524120316,0.26211951697091407,0.29590101932899104
backbone.layer3.1.conv2,0.0228,0.0,0.06447903729865524,0.23749053989133107,0.12766826416349086,0.0,0.31487544963086533,0.2497771249670957,0.0
backbone.layer3.1.conv3,0.0081,0.0,0.10064478920287917,0.0,0.12901218560335204,0.0,0.32459620017830576,0.0,0.15150328645743133
backbone.layer3.2.conv1,0.064,0.33746273825062223,0.13340252699201693,0.17016467008023206,0.0,0.3850801911981838,0.24867128000225514,0.0,0.0
backbone.layer3.2.conv2,0.0047,0.0,0.25630548945872333,0.0,0.057783297427794665,0.14175036677793848,0.29742448377351915,0.18481911814855137,0.0
backbone.layer3.2.conv3,0.0017,0.3047403419693402,0.31288364723098216,0.0,0.0,0.299168105078942,0.008655697953562157,0.1043653292034565,0.2599488989998876
backbone.layer3.3.conv1,0.0519,0.20434725890557104,0.0,0.0,0.17204110444848508,0.012078823444333031,0.0,0.1271857110964918,0.2681478511371246
backbone.layer3.3.conv2,0.0079,0.0,0.0,0.23640887087636067,0.0,0.0,0.0,0.24419482902226167,0.0
backbone.layer3.3.conv3,0.0031,0.2009507112891688,0.0,0.0,0.0,0.30608468058462296,0.0,0.0,0.03486773316460618
backbone.layer3.4.conv1,0.1189,0.4222434830210368,0.1552047141859738,0.09008275294307022,0.0,0.23155014054481582,0.0,0.0,0.14157475351045368
backbone.layer3.4.conv2,0.0093,0.1829682780777345,0.0,0.0,0.169712866026029,0.1260325920202903,0.0,0.0,0.006801560880378334
backbone.layer3.4.conv3,0.0018,0.0,0.14337302332912213,0.0,0.14042196385878344,0.0,0.0,0.11195199520898627,0.0
backbone.layer3.5.conv1,0.094,0.0,0.04497712458671008,0.39983467217053914,0.2806083825523098,0.0,0.20543393201299612,0.0,0.10415095487471601
backbone.layer3.5.conv2,0.0175,0.17769585107015146,0.044851950085230505,0.020838523736902245,0.21657253638313056,0.03459801648867038,0.013752161093092116,0.0,0.0
backbone.layer3.5.conv3,0.0181,0.2802856590413921,0.0,0.0,0.2671485592185067,0.05302627798390419,0.09492483092943826,0.0,0.17371467666295787
backbone.layer4.0.conv1,0.0792,0.0,0.2979560280250465,0.0,0.054204132194233215,0.26380415671388935,0.18103332568001995,0.2749027463418977,0.0
backbone.layer4.0.conv2,0.0059,0.28714453189159733,0.034174459373628494,0.32158734083537127,0.0,0.0,0.2653750042739806,0.2592633723320595,0.19016396329798715
backbone.layer4.0.conv3,0.041,0.1480903206940282,0.0,0.0,0.210329047025028,0.0,0.1716330571849172,0.0,0.11694573732350735
backbone.layer4.0.downsample.0,0.0604,0.1051527768983122,0.0,0.27473120992750394,0.0,0.22970510761937063,0.2174468323489928,0.0,0.11895171005237593
backbone.layer4.1.conv1,0.1115,0.25347714504611885,0.4380380430668983,0.14852632907992747,0.0,0.2001473667019093,0.1175483868871083,0.0,0.0
backbone.layer4.1.conv2,0.0616,0.020925679380616416,0.0,0.1409955646488188,0.23536551094855324,0.0,0.04303902489648316,0.16865971537371793,0.0
backbone.layer4.1.conv3,0.0499,0.0,0.3065625869372267,0.3499200915146168,0.0013785713568433833,0.0,0.24355183857849005,0.1038654089447964,0.11977764761631593
backbone.layer4.2.conv1,0.0638,0.34587808314982105,0.29802564491028183,0.0,0.07572407140054185,0.10032321990051626,0.09299190818915484,0.0,0.0
backbone.layer4.2.conv2,0.0822,0.3385667798188754,0.1791552103530844,0.4072368483671932,0.0,0.11010916506347063,0.0,0.0,0.20456556983374702
backbone.layer4.2.conv3,0.0552,0.30074266211160683,0.01448356115198382,0.0,0.0,0.1268088901338865,0.0,0.3152067451177021,0.1822811704885651
classifier.0.convs.0.0,0.0649,0.145619458240054,0.08292511911904853,0.15929880935130375,0.0,0.25471774587916063,0.29843521244659077,0.19448165087382002,0.2295017870979587
classifier.0.convs.1.0,0.0842,0.0,0.26276984648694124,0.17207867965342238,0.18353573333749623,0.0,0.11459697674685954,0.07388497861422116,0.3264045260819838
classifier.0.convs.2.0,0.0604,0.0,0.052237478307973866,0.0,0.03532632682550612,0.23948126312531698,0.0,0.09648399417330444,0.2636150236678822
classifier.0.convs.3.0,0.046,0.012562634280881738,0.0,0.15095607092910512,0.19617423265651945,0.0,0.0,0.2545424390147768,0.291697799254349
classifier.0.convs.4.1,0.0006,0.0,0.2699245115573766,0.07434920226460175,0.2353361073872089,0.21007535244446596,0.2875484940947216,0.055314223032282187,0.0
classifier.0.project.0,0.0371,0.0,0.0,0.0,0.0,0.0,0.06683592201199876,0.24509076430146418,0.1312512369729845
classifier.1,0.0351,0.0,0.0,0.25008249123166143,0.2502045135631092,0.2661878605229962,0.014620485989058164,0.0,0.11960819552301069
classifier.4,0.8392,0.997,0.8234721896925357,0.8969112728907993,0.607078901828495,0.941157308469787,0.796315072958638,0.997,0.8528540925676421
