,nv_8x8_b1_dat-524288_wt-32768_int8,nv_8x8_b1_dat-1048576_wt-65536_int16,nv_8x16_b1_dat-2097152_wt-262144_int32,nv_16x16_b1_dat-524288_wt-65536_int8,nv_32x16_b1_dat-1048576_wt-131072_int16,nv_32x8_b1_dat-2097152_wt-131072_int32,nv_16x32_b1_dat-524288_wt-131072_int8,nv_32x32_b1_dat-1048576_wt-262144_int16,nv_32x32_b1_dat-2097152_wt-524288_int32
features.0.0,0.5476,0.4986099798395891,0.437120961354421,0.553039859263572,0.4540554631025738,0.5231169852039248,0.5554819950541587,0.6309972829719976,0.6523052005158179
features.1.conv.0.0,0.4829,0.3587106714749197,0.5039647295842418,0.5419278836172866,0.44127006606169805,0.6178886651282276,0.40386838267768743,0.5955936408376724,0.5235626601123059
features.1.conv.1,0.8801,0.7580604514157537,0.8475552116435189,0.8930398974056556,0.9080142176463526,0.9747367457626901,0.8746279514898083,0.9045683512210828,0.997
features.2.conv.0.0,0.3047,0.39823023083277287,0.3814354843269808,0.3618954176854152,0.2170530781713292,0.38574894824950895,0.44403401758727057,0.39299962339632744,0.20118497460603463
features.2.conv.1.0,0.4919,0.4242119323282205,0.58713088132386,0.4340109883808855,0.5091367105992443,0.6319399340060697,0.47825856589707527,0.3511367051917339,0.5802325093783878
features.2.conv.2,0.0,0.13257614156253392,0.0,0.057517548421071096,0.13126533181850422,0.003721515994139779,0.0,0.0,0.11479461792020887
features.3.conv.0.0,0.0,0.0,0.09151276078685419,0.0,0.013623897837491461,0.14063770432692638,0.0022300147008205984,0.01234333153388395,0.0
features.3.conv.1.0,0.314,0.23777359488612426,0.40658270445039923,0.20137730583282074,0.4093771786207497,0.2524804391241871,0.2287563348397926,0.1964544063872743,0.4511790014487893
features.3.conv.2,0.5006,0.4719142479831461,0.5689464146425178,0.5367775463630478,0.43757390816020725,0.5801607746222625,0.6246864268970723,0.5793829270554804,0.42970761827625487
features.4.conv.0.0,0.0,0.09607332937416999,0.02506827355419894,0.134367141093073,0.0,0.0,0.10599989707119545,0.1276433630591645,0.01710440019029147
features.4.conv.1.0,0.3349,0.3106443991955271,0.4326995905037605,0.2982884347177819,0.41718079442498773,0.250565504934629,0.24024514407964367,0.34067350713878897,0.30017273774795317
features.4.conv.2,0.5393,0.6564842096426969,0.6418921584047346,0.5298197804775466,0.6443628457651606,0.5410631274565365,0.5383285316445499,0.46323326630225725,0.5631072530423391
features.5.conv.0.0,0.0609,0.0,0.17167324634234285,0.20147063530934337,0.0,0.13881690371065333,0.015850267053595872,0.011015717814080304,0.08563188646105399
features.5.conv.1.0,0.241,0.1100931621416584,0.3642176378484888,0.3318654514050405,0.14347509936898814,0.11537095337409545,0.34481435194663823,0.31605411823647933,0.19277808437953828
features.5.conv.2,0.2575,0.36291660961661576,0.14264549254481848,0.33117997620492395,0.332606725007073,0.18498088000956373,0.33192903262914597,0.19472234649288453,0.13789524963118668
features.6.conv.0.0,0.0712,0.2084119527123493,0.0,0.11882626583405982,0.1968177194383054,0.20395504815700588,0.028733647104311894,0.1221673588164799,0.11271515963781452
