,nv_8x8_b1_dat-524288_wt-32768_int8,nv_8x8_b1_dat-1048576_wt-65536_int16,nv_8x16_b1_dat-2097152_wt-262144_int32,nv_16x16_b1_dat-524288_wt-65536_int8,nv_32x16_b1_dat-1048576_wt-131072_int16,nv_32x8_b1_dat-2097152_wt-131072_int32,nv_16x32_b1_dat-524288_wt-131072_int8,nv_32x32_b1_dat-1048576_wt-262144_int16,nv_32x32_b1_dat-2097152_wt-524288_int32
features.0.0,0.1053,0.1298212738349843,0.25732018374780163,0.0,0.20507233858142898,0.23047017688923876,0.1451076485938463,0.0,0.0
features.1.conv.0.0,0.0745,0.0,0.10387437720558525,0.027605703856382904,0.1355854896086257,0.04079770298315226,0.0,0.030675449179625544,0.04124444209966213
features.1.conv.1,0.0,0.06679702653472358,0.0,0.12080088400152417,0.0,0.03188544435972157,0.0,0.0,0.003704116157050158
features.2.conv.0.0,0.0,0.0,0.00042450379000058547,0.06514208348363876,0.0,0.0,0.12313718919825656,0.0986717523841329,0.0
features.2.conv.1.0,0.1565,0.05313680683288992,0.3042661575254375,0.10570785391039424,0.3063387478242905,0.20198124266863934,0.07373269411309638,0.012967284152732572,0.1931208143205387
features.2.conv.2,0.0,0.0,0.0,0.013490685607538883,0.10429183229462241,0.0012081215949292512,0.0,0.0,0.01012499655881946
features.3.conv.0.0,0.0,0.0,0.03576410325907495,0.0,0.0,0.04924605029709986,0.10083812129764502,0.0,0.0
features.3.conv.1.0,0.0708,0.11928870450368331,0.07407629714246114,0.025817983393114585,0.06581488893838178,0.19273424249386653,0.0,0.20564179879991482,0.17802949903103574
features.3.conv.2,0.1294,0.09277180251798493,0.06903303214014589,0.26481501504285754,0.23052158298672223,0.2672559557526666,0.0,0.22561339369546116,0.2267873726923514
features.4.conv.0.0,0.0,0.1223939228821489,0.0,0.0,0.008197519225277367,0.0,0.0,0.15368538852367714,0.1439180896790681
features.4.conv.1.0,0.2181,0.14325641440112874,0.20391917604997586,0.1052265874319841,0.1452516611993908,0.2969362293256236,0.267021747272267,0.2932400718001177,0.06653172414012884
features.4.conv.2,0.3281,0.3473262755029102,0.19114465559378757,0.32526529171014995,0.19142691708336548,0.43086989734873726,0.3060343252451475,0.23824955833898526,0.17779445141541858
features.5.conv.0.0,0.0,0.0,0.05642124226267989,0.07729265291027407,0.0,0.0,0.07057050740491583,0.1438699490127544,0.0
features.5.conv.1.0,0.1027,0.1175730412071933,0.0008773315731720049,0.17663115117195144,0.2569432865793861,0.11234453137727145,0.22717824286373267,0.0362473433918149,0.14157503247310216
features.5.conv.2,0.1116,0.08402153315614325,0.0,0.19035283010749326,0.09375211300584824,0.18827303312125526,0.0026202350651058914,0.0,0.12359530919726505
features.6.conv.0.0,0.0,0.09780475241929426,0.0,0.020676105864524952,0.0,0.0,0.0,0.15294164856395154,0.1365660078251924
features.6.conv.1.0,0.0679,0.07845933871087739,0.06340334175535269,0.0,0.0,0.0,0.0,0.18794180798148896,0.19090419892368748
features.6.conv.2,0.0886,0.22698266386499155,0.0,0.21081588915820476,0.03170606652936915,0.12387389603428735,0.022341849414047724,0.056916220232576364,0.004629860133129313
features.7.conv.0.0,0.0,0.0,0.0,0.0,0.06619136502604417,0.0,0.14590992294417832,0.06724159923233022,0.0
features.7.conv.1.0,0.415,0.5200301059036174,0.5467833931316759,0.49300330274672916,0.5372110955816657,0.4573817035900696,0.5233967793459342,0.5368549361150661,0.3730656180231051
features.7.conv.2,0.0,0.15513206513222505,0.0,0.08713339711995552,0.0,0.0,0.08263528829863248,0.057541428087173385,0.0
features.8.conv.0.0,0.0,0.0,0.0,0.006735661135389648,0.0,0.0,0.03348266854133877,0.0,0.009151651961002788
features.8.conv.1.0,0.1234,0.059807725598789774,0.06559887673645108,0.08487456505337969,0.05301053192603654,0.2667128737075223,0.1312703195454949,0.015434389785496869,0.024540701554158093
features.8.conv.2,0.0,0.0,0.057737142277501124,0.05033507465635431,0.0,0.0,0.0,0.0,0.04832383172321325
features.9.conv.0.0,0.0,0.14616164513885366,0.002735203113000406,0.025753479845702143,0.0,0.0,0.0,0.024681861247949605,0.0
features.9.conv.1.0,0.0412,0.0,0.03938317872499565,0.016938120039081336,0.06274051430333823,0.13234205564158136,0.0,0.16407605942622255,0.0
features.9.conv.2,0.0,0.11356984460267838,0.0,0.10471777343510613,0.054745696978389075,0.13382478750229487,0.0,0.0,0.10445806637827715
features.10.conv.0.0,0.0,0.016013117064848564,0.0,0.08758600016224893,0.14878851730597537,0.0,0.07766635554887258,0.10311825123940821,0.14200748425245263
features.10.conv.1.0,0.0863,0.0,0.0,0.0,0.0,0.0748341793288629,0.12845019300303834,0.23421394521593436,0.03164577786220338
features.10.conv.2,0.0,0.0,0.0,0.06562043491931352,0.02639657765551101,0.0,0.15333142597025323,0.017460372947218944,0.10467539505035922
features.11.conv.0.0,0.0,0.10518373860135344,0.0,0.0,0.0,0.00453120597653342,0.1538223395497238,0.0,0.11577207575333448
features.11.conv.1.0,0.1844,0.16867380151287548,0.15007279326740008,0.06416993449670165,0.14985824412683757,0.16891787648570705,0.048709055152310304,0.22310649490810397,0.27283009056798035
features.11.conv.2,0.2962,0.19158738576390422,0.43064910508000315,0.2005373629460744,0.44204572049393476,0.4055438079233625,0.3840723184586827,0.32073147948426556,0.3917972653679894
features.12.conv.0.0,0.0,0.0,0.07098964047536449,0.013221643791673204,0.08762668994134759,0.0,0.0,0.05720210992916655,0.0060974535802805485
features.12.conv.1.0,0.2987,0.2632727392839929,0.42788415431531146,0.32315651146352,0.14606714669307452,0.3858297062701751,0.3374513718451333,0.24302352567733526,0.28230000405071093
features.12.conv.2,0.1132,0.08334419554116707,0.08696693772176034,0.16824355963884752,0.20881827136825057,0.12102335549310889,0.20157036285492155,0.08094687072943402,0.17676928097667396
features.13.conv.0.0,0.0,0.11210248546496471,0.0,0.0,0.0,0.10386799283429649,0.013420551227449035,0.06585130465716968,0.0
features.13.conv.1.0,0.4926,0.4593541443908362,0.40825517258697197,0.6182454754561161,0.5205777121481762,0.5766750356483922,0.5166801350121362,0.5800916592018859,0.4043834377044358
features.13.conv.2,0.277,0.2137844224828162,0.3576325521803362,0.20497568163708674,0.17337683582126073,0.3680042067857578,0.4027388911478893,0.40678577677170624,0.15767477769335544
features.14.conv.0.0,0.0,0.0,0.0,0.0,0.014871727571330706,0.147954788678211,0.12478028152908782,0.0988570673528173,0.14958233271974541
features.14.conv.1.0,0.3283,0.27582221569608434,0.42393264543370884,0.28751364242656535,0.26454099340277626,0.3458581956664028,0.25505663051497107,0.48336023870243905,0.21549815923905338
features.14.conv.2,0.6933,0.6094194251376644,0.5712145582682403,0.7047890543197347,0.559040188684905,0.5929719330232324,0.5446491546682322,0.6590114254874009,0.832543791524467
features.15.conv.0.0,0.0,0.15386607477428826,0.024654151164423987,0.0,0.0448335404096471,0.0,0.0,0.0,0.08201586925933471
features.15.conv.1.0,0.33,0.35678333399074347,0.23256712776690905,0.45098583330333225,0.3265032662367255,0.3059873314296587,0.38316179004456163,0.3053476793743792,0.3990703528777878
features.15.conv.2,0.502,0.4628898722712377,0.5552509366801497,0.5514763187800603,0.5318371558095003,0.3577801938451819,0.5434471660223105,0.5966244687867555,0.36616464597677834
features.16.conv.0.0,0.0,0.0,0.0,0.00025211140328179615,0.0,0.01740407189138582,0.0,0.0,0.12351438988204022
features.16.conv.1.0,0.4871,0.47390974078041714,0.3905356924345366,0.3766927913680222,0.5641508158117196,0.5222391600824517,0.5350813517565158,0.4957651937891543,0.6388768681068121
features.16.conv.2,0.7132,0.6268723520679867,0.6776495710626436,0.6258164566033052,0.7225802939952193,0.6456775132640349,0.5946641402944611,0.7156062936116669,0.7153204598052603
features.17.conv.0.0,0.0,0.0,0.04483155993476806,0.0,0.0385175694196461,0.0,0.0,0.03542942245799388,0.0747797107010576
features.17.conv.1.0,0.242,0.238070040816751,0.39706475439458255,0.35335018027113174,0.33460424199553307,0.1701570505923402,0.09484479932676532,0.16860852773182755,0.23150310328774631
features.17.conv.2,0.5199,0.5858403533466547,0.6703882695392342,0.5792981695331972,0.3802514819582382,0.646269547043825,0.37565837037188143,0.5391824156140786,0.6063912188755309
features.18.0,0.0431,0.0337050090991777,0.18642727222899916,0.09162222516433063,0.1650427831866673,0.0,0.0,0.0030752365837668633,0.0603808981789159
