,nv_8x8_b1_dat-524288_wt-32768_int8,nv_8x8_b1_dat-1048576_wt-65536_int16,nv_8x16_b1_dat-2097152_wt-262144_int32,nv_16x16_b1_dat-524288_wt-65536_int8,nv_32x16_b1_dat-1048576_wt-131072_int16,nv_32x8_b1_dat-2097152_wt-131072_int32,nv_16x32_b1_dat-524288_wt-131072_int8,nv_32x32_b1_dat-1048576_wt-262144_int16,nv_32x32_b1_dat-2097152_wt-524288_int32
conv1,0.9121,0.8955532151257304,0.9535814109411711,0.9375941875681243,0.9010429118795515,0.928518517931354,0.9236588762786727,0.8878536978224871,0.9476563846595492
layer1.0.conv1,0.9701,0.997,0.9630545238719421,0.9761595131320443,0.9751201770674855,0.9658872241603724,0.997,0.9409859725700136,0.992572280704141
layer1.0.conv2,0.9618,0.9930351104667824,0.9922648905871618,0.9364515040714636,0.997,0.9490918532334647,0.9422890160784967,0.9386255376343255,0.9906076868373489
layer1.0.conv3,0.8659,0.885243874831893,0.8633814114584435,0.8315524219369191,0.8576612185044735,0.8879579600944191,0.8952611954369203,0.8242114820941339,0.8419214262080532
layer1.0.shortcut.0,0.8878,0.8817265778839066,0.8967150616688835,0.8978965270425459,0.8749383052309706,0.8584195812981195,0.8758589033447484,0.9251785373009939,0.870406617420042
layer1.1.conv1,0.9517,0.9132861722866772,0.9254342564860436,0.9735534963538506,0.9629751356428835,0.9182260141943495,0.9831367822259798,0.9468797770220059,0.9462020196777565
layer1.1.conv2,0.9487,0.9708522100593365,0.9918944030212203,0.9187728106773918,0.9913659451202108,0.9404221207237723,0.9634194028490843,0.9647722657993385,0.9336508913116729
layer1.1.conv3,0.835,0.8735645251854802,0.868906583618814,0.8586727548629203,0.8288512320633886,0.859525258366141,0.8396374908165765,0.7923698622783578,0.8089433490678581
layer1.2.conv1,0.9411,0.9228182078474615,0.9007946886824912,0.9327415156549281,0.9022815696936921,0.9645958945676854,0.9282930884431787,0.9284197227034369,0.9346243166265403
layer1.2.conv2,0.9467,0.9709283761663577,0.9268201034230676,0.9696433601077583,0.9636031121762302,0.9119234750337981,0.9372172964622559,0.9197660129229173,0.9219832238068132
layer1.2.conv3,0.7683,0.7335750987592697,0.8013721477906737,0.7490665010743494,0.775405849706507,0.779204472175831,0.7710286969949622,0.7578579125069083,0.7550403870608199
layer2.0.conv1,0.9234,0.9194923815906886,0.8905586716772906,0.9454474665655079,0.9641424668064343,0.8867078195361672,0.9243030355638802,0.9563277905391876,0.9386643365950653
layer2.0.conv2,0.9134,0.9426691081727041,0.9132863143642734,0.8825986171564255,0.8785924442183635,0.8763090427052904,0.9340575152307021,0.9460963552157591,0.9104371194099039
layer2.0.conv3,0.8409,0.8728969713652958,0.8643953990759102,0.800222228895885,0.8494828441575727,0.8505289431405845,0.8131666952407182,0.8164208387120852,0.8707687762701859
layer2.0.shortcut.0,0.711,0.7274815149428627,0.7443526243860675,0.7405203347830819,0.6972081854264756,0.6968684650719338,0.7406482890672962,0.7504220973216273,0.7306151111653666
layer2.1.conv1,0.8065,0.8498105071369167,0.8194544337788567,0.8417646651856141,0.7644507309530783,0.7967297204404491,0.83454011628793,0.7786552878267421,0.8009097968622838
layer2.1.conv2,0.9096,0.8787814985515875,0.8927950198800083,0.9181969448190967,0.8739988606238105,0.9494242998752647,0.8761741224019434,0.9284290765179176,0.9398725511352286
layer2.1.conv3,0.8133,0.8139515443641299,0.8152443356224949,0.8194798543807863,0.8082130996090212,0.8000674990025578,0.7957801235193411,0.8400031556440681,0.8025070003460222
layer2.2.conv1,0.8941,0.866459187610531,0.917979264118506,0.9095278983605413,0.8537261179352036,0.8781212865241799,0.9362018430017476,0.9044979906222878,0.8817876457825646
layer2.2.conv2,0.9504,0.9502333566205297,0.9892440770041943,0.9430744587553909,0.9858538961523005,0.9902825841189623,0.9633139918748824,0.9184435871735542,0.9706058420069559
layer2.2.conv3,0.8135,0.7893021412384926,0.7733929648477307,0.7733691640194688,0.854469246648151,0.7893411447092478,0.8279457880231461,0.8169130266120602,0.8529586454979775
layer2.3.conv1,0.913,0.9036298094418209,0.9026987338938545,0.9183294161605302,0.8917120856706146,0.9040173593457806,0.9459411461248388,0.9396233390526476,0.943231959302455
layer2.3.conv2,0.9443,0.9356710957695391,0.9679488496373541,0.983225566647473,0.9387804646470239,0.9271713063812146,0.9355166249248081,0.9117146354403095,0.9838145576770831
layer2.3.conv3,0.788,0.7525408654223412,0.8082894220626964,0.7774059320639972,0.7689856018134481,0.7838845341812518,0.7735705539592123,0.7805638936493305,0.7464827540173324
layer3.0.conv1,0.9215,0.8998882185575333,0.8828156083060852,0.9054852404119821,0.9555503484499615,0.9629313226871837,0.9424478037739996,0.9097714638117389,0.9140633294829273
