,nv_8x8_b1_dat-524288_wt-32768_int8,nv_8x8_b1_dat-1048576_wt-65536_int16,nv_8x16_b1_dat-2097152_wt-262144_int32,nv_16x16_b1_dat-524288_wt-65536_int8,nv_32x16_b1_dat-1048576_wt-131072_int16,nv_32x8_b1_dat-2097152_wt-131072_int32,nv_16x32_b1_dat-524288_wt-131072_int8,nv_32x32_b1_dat-1048576_wt-262144_int16,nv_32x32_b1_dat-2097152_wt-524288_int32
conv1,0.4898,0.5785494948304288,0.606996903204518,0.4242422861355041,0.6197288423593614,0.46563283287852686,0.3936716999256,0.5994478506080149,0.40083341753586593
layer1.0.conv1,0.2805,0.3452338679354644,0.32388059542147174,0.2971487078125912,0.1722535661723329,0.1778118810639334,0.36023205289808713,0.29370247947235156,0.3899505122458245
layer1.0.conv2,0.2211,0.2525790504887844,0.2691452493811543,0.302510763604648,0.25291962914118843,0.31658398114487335,0.2579469427132716,0.31399740163767653,0.19313574156702878
layer1.0.conv3,0.3117,0.18795768439009447,0.2688882364345782,0.37196929071477414,0.4183120689244886,0.41520136256122314,0.4014536925281096,0.2064640248897735,0.3352619897183442
layer1.0.shortcut.0,0.2668,0.18188144712202742,0.3022414621105435,0.37902968221323746,0.2561991814464394,0.335506733646623,0.26895318919649214,0.29400159829481876,0.22056477914108652
layer1.1.conv1,0.0,0.0,0.08894424562200379,0.0,0.0,0.0,0.0,0.013228444179042287,0.0
layer1.1.conv2,0.1875,0.1572704975309384,0.1509893192361746,0.2636461150362036,0.1351273366049554,0.2891506166816765,0.27969726646299475,0.09070351686708997,0.18195478300301596
layer1.1.conv3,0.1939,0.16897308599934086,0.13508192087724583,0.18315849720790328,0.3081791546886914,0.2575352487179735,0.28452428550113695,0.21691048037969735,0.13404595857743024
layer1.2.conv1,0.0,0.0,0.0,0.03335328709278579,0.0,0.0,0.0,0.09341187301543102,0.0
layer1.2.conv2,0.1716,0.2982526450958646,0.27201677006548053,0.10679192974453705,0.22051762747627404,0.20802796591506376,0.10677549685068448,0.24819969377785286,0.11336375345870825
layer1.2.conv3,0.1108,0.16195577353549423,0.05315144734643837,0.09096863909544253,0.19155490865561703,0.15137731004562394,0.11432817677113914,0.07217218345361716,0.11623780191501333
layer2.0.conv1,0.0,0.0,0.0,0.0010523703779113935,0.0,0.035626738167833794,0.1321714610347628,0.02156988656592851,0.0
layer2.0.conv2,0.2511,0.36308793898954383,0.35491247090086475,0.31914722670313755,0.2405238589780403,0.3260862640735279,0.197658200415402,0.2685266439161944,0.11977963622824359
layer2.0.conv3,0.0,0.016410646553084163,0.0,0.06908388972564034,0.03473219982464826,0.12060139741703091,0.0030785142586887138,0.12620760207966503,0.07837899126288403
layer2.0.shortcut.0,0.0881,0.19598078506676891,0.0,0.03492523149099459,0.0,0.0459879621603045,0.1627086614301561,0.16722989244265513,0.0
layer2.1.conv1,0.0,0.0,0.0,0.0,0.10997296377137955,0.0,0.0,0.13053903854023285,0.08707020777047211
layer2.1.conv2,0.2213,0.09412701929052786,0.1738391178025006,0.26808983302813927,0.2326461371453287,0.08396162933922299,0.24599592326019384,0.2904652075457228,0.23567570304750482
layer2.1.conv3,0.0,0.13378541940465122,0.09619411434882888,0.1143707345433061,0.0,0.0,0.0,0.0,0.08560382595973742
layer2.2.conv1,0.0,0.0,0.0,0.0,0.013930083626957829,0.13310694445186488,0.0,0.0,0.0
layer2.2.conv2,0.3221,0.2876895324512049,0.30220586214382494,0.3196837898565022,0.4300002848634231,0.4473436977839495,0.2051109022386537,0.4280209984759,0.38372308939874966
layer2.2.conv3,0.0,0.059972873380715636,0.11313495681155528,0.0,0.0,0.0,0.0,0.0749365433030787,0.13716064207434414
layer2.3.conv1,0.0,0.09801328384349578,0.0,0.0,0.0,0.13525906581285985,0.0,0.08671746880196693,0.02675564551875617
layer2.3.conv2,0.2865,0.2642605194722466,0.3772112413843178,0.2810386508720079,0.2839088109603499,0.2853397213201484,0.18483941840517776,0.3676814390365284,0.2775715710442637
layer2.3.conv3,0.0,0.05756766043710804,0.08335869488313893,0.0,0.0,0.03530285816626877,0.0058895866788815365,0.0,0.07780023201040184
layer3.0.conv1,0.2039,0.11566994532789066,0.19330251922331887,0.3386907530723887,0.33441735235506953,0.28451486120980796,0.2782711144875828,0.1019744529169489,0.15983963384155697
layer3.0.conv2,0.614,0.610803638254692,0.509456711804413,0.523086472507985,0.6541659830926732,0.6099912926120807,0.7046196698624211,0.6008666346604202,0.6292879942139042
layer3.0.conv3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10079634347409236,0.0
layer3.0.shortcut.0,0.3916,0.45445239435357077,0.33136539992940317,0.3805508323781568,0.4348237062891243,0.3608095852786879,0.2711580373522626,0.4549236916722195,0.3082979085654936
layer3.1.conv1,0.5915,0.4737116977099196,0.6858207383669267,0.6755429419322534,0.6723121166458308,0.5042027369830975,0.6482860964661843,0.604756263989552,0.621347419980764
layer3.1.conv2,0.3623,0.3733850354121753,0.4528025530583364,0.32113262245436935,0.23915163387195698,0.4043954853309213,0.3358935907247243,0.4748935895530968,0.3990536651458241
layer3.1.conv3,0.0,0.006845417610153337,0.038282617171838146,0.0,0.13821908335756095,0.03644327646837314,0.006634421063506174,0.0,0.0
layer3.2.conv1,0.4746,0.6105290390044027,0.40516246384545856,0.4762022094122535,0.5088624245057779,0.3636855069826971,0.40070483131332374,0.48527923156684816,0.5293688371630028
layer3.2.conv2,0.4702,0.37448408553000795,0.37375556032782087,0.45910579712711175,0.5614315322690235,0.395903515851883,0.47894732909443505,0.5060806787549799,0.5090672674703421
layer3.2.conv3,0.0,0.0,0.0,0.07464322557450637,0.07965916309198787,0.0,0.0,0.0,0.0
layer3.3.conv1,0.5582,0.6628438958912386,0.6572038281909169,0.6431770508390202,0.5659950302922141,0.6124351789734772,0.6330534423253216,0.6745235249795387,0.6438560079841991
layer3.3.conv2,0.7029,0.8355279967346161,0.7999411125298815,0.7702686034377401,0.8210294034672736,0.7086674809420291,0.7180721352188545,0.7222061000690314,0.773508994874083
layer3.3.conv3,0.0,0.0,0.021085601897019607,0.031502297831451864,0.13489256402625288,0.0,0.0,0.0,0.0
layer3.4.conv1,0.7551,0.625034884335002,0.660676770298626,0.882027802943584,0.8454736133911971,0.7084926264484556,0.7121774147656746,0.7162042680224827,0.6646230609100704
layer3.4.conv2,0.7989,0.7757133942560483,0.8136454138030809,0.877528116666774,0.9202286080405184,0.7930158351099604,0.7071431445269174,0.7748163945717659,0.683515914711557
layer3.4.conv3,0.0,0.0034470743902298706,0.0,0.0,0.11762327859380184,0.0,0.0,0.07037413217671101,0.024259318741763763
layer3.5.conv1,0.7178,0.7702623484400856,0.6545835253084014,0.6046434762052695,0.7116612745192867,0.7537091219965135,0.8249898432048786,0.683554458172591,0.8173725340861527
