,nv_8x8_b1_dat-524288_wt-32768_int8,nv_8x8_b1_dat-1048576_wt-65536_int16,nv_8x16_b1_dat-2097152_wt-262144_int32,nv_16x16_b1_dat-524288_wt-65536_int8,nv_32x16_b1_dat-1048576_wt-131072_int16,nv_32x8_b1_dat-2097152_wt-131072_int32,nv_16x32_b1_dat-524288_wt-131072_int8,nv_32x32_b1_dat-1048576_wt-262144_int16,nv_32x32_b1_dat-2097152_wt-524288_int32
model.model.0.conv,0.9389,0.997,0.8546349606770486,0.9427507382536799,0.997,0.8414702854027364,0.9398933587741831,0.8573132583460963,0.997
model.model.1.conv,0.9171,0.997,0.997,0.7854076964070309,0.9014006523828825,0.7850118251056262,0.997,0.8494673455158254,0.8709518674177357
model.model.2.cv1.conv,0.9223,0.9198865425586565,0.997,0.864635514567493,0.997,0.997,0.9248119524033875,0.997,0.9793643071431253
model.model.2.cv2.conv,0.9057,0.9179015239001218,0.997,0.997,0.9809006539675508,0.953601360500258,0.9488420796538086,0.997,0.997
model.model.2.m.0.cv1.conv,0.8506,0.9135913987325036,0.7111232983744977,0.9218997367926485,0.7032115501657912,0.984542815817834,0.997,0.7913522821005892,0.9630675568245899
model.model.2.m.0.cv2.conv,0.7812,0.706359992300488,0.668523517792702,0.7187560501048879,0.8489795408977533,0.9095813079997478,0.8671007339395123,0.872026568509083,0.6570366847299536
model.model.3.conv,0.65,0.7286523235554214,0.5305076937424221,0.7833309807874596,0.595544160245425,0.6853482900979931,0.628684393320506,0.709461636748451,0.5907736610171852
model.model.4.cv1.conv,0.6588,0.8071945916605985,0.5784217158147623,0.5139239508792355,0.7587112915658678,0.6250127639295848,0.62134373949489,0.7965209233745968,0.6096730763068259
model.model.4.cv2.conv,0.828,0.894298598475773,0.9590620568453867,0.7280729789346996,0.749121600178885,0.850347995741432,0.9505640901045194,0.7094732049815922,0.8808230471487177
model.model.4.m.0.cv1.conv,0.7699,0.9024300225765018,0.8248246509264572,0.9074504919357009,0.7211757816294923,0.6825098754691427,0.8133836857686184,0.8151864433466218,0.8997832002977478
model.model.4.m.0.cv2.conv,0.6439,0.7861576186425341,0.6910219833463745,0.6631387613306117,0.773842287824864,0.5156839800089906,0.719598938494516,0.769562023045774,0.6376398081001017
model.model.5.conv,0.6821,0.6477527200560003,0.6042656708630806,0.6089665587684074,0.5665682878131545,0.8223214918169893,0.7948385828492655,0.6045234208302749,0.7082390494973286
model.model.6.cv1.conv,0.5955,0.686766605284277,0.5834480537799802,0.46707460110161714,0.6471384689141544,0.6165618247152629,0.4695775441506655,0.5118304046632987,0.49095411232104946
model.model.6.cv2.conv,0.7071,0.7433763341321629,0.645602244014943,0.6497649622207489,0.7663087055010878,0.6126077884277835,0.7516985839873177,0.7102738549602223,0.6010646445997329
model.model.6.m.0.cv1.conv,0.5115,0.37534994223739915,0.5303203216458471,0.37154876964058897,0.47005357715151197,0.3977260509754683,0.48177880523376215,0.4506005419240075,0.5766302142043322
model.model.6.m.0.cv2.conv,0.3893,0.5012479218966708,0.3645319861713222,0.3290512562717489,0.49701011057677646,0.5028909946260851,0.4906619037485469,0.33593073438206705,0.36602770228583603
model.model.6.m.0.cv3.conv,0.5373,0.6483662309044764,0.5916335107741784,0.5553960721513094,0.6524659954373593,0.389651615342845,0.5365986987320027,0.670942099501751,0.403409832207416
model.model.6.m.0.m.0.cv1.conv,0.5946,0.7432045756266255,0.5820281253475866,0.4564470621203838,0.56592058172257,0.5569326720208307,0.6476191613047447,0.5604634283563407,0.5471855093657191
model.model.6.m.0.m.0.cv2.conv,0.4167,0.2925396346753412,0.3174684380440528,0.26677883204811065,0.37847814493125365,0.5057248277106751,0.490083585592984,0.34011309554063607,0.3766399470668853
model.model.6.m.0.m.1.cv1.conv,0.6222,0.6245084730797367,0.5523021832074325,0.734376661090019,0.6547410526146045,0.5213251710772817,0.6036695828739216,0.7670682564961184,0.7144038557092027
model.model.6.m.0.m.1.cv2.conv,0.379,0.3968206699404387,0.3301181575236445,0.3588387124313295,0.23064434615734766,0.2790765721339692,0.24039998171701438,0.49145366490678893,0.32139341893355544
model.model.7.conv,0.4127,0.29774409705226446,0.3162857505950852,0.5260560677124371,0.5592738247625116,0.3349110555663476,0.5630459813060873,0.37017393416526423,0.428347764397364
model.model.8.cv1.conv,0.5136,0.44426556182905474,0.6336867320384558,0.4112698292555175,0.3645720779524623,0.5162980035065554,0.48961055491740174,0.43394090225466164,0.4557476011183719
model.model.8.cv2.conv,0.4071,0.48118009775153436,0.3544355124191311,0.286262558731724,0.3427276041226969,0.3868020263023335,0.535728652553787,0.5411142599999821,0.542421395083141
model.model.8.m.0.cv1.conv,0.3652,0.2730884322089081,0.28466250835324924,0.40765934692927797,0.4860789839919658,0.37763041613762127,0.4330204236525965,0.2930169290405337,0.44181803081655335
model.model.8.m.0.cv2.conv,0.2327,0.31707938346512665,0.2310681950455498,0.20925420517910212,0.372365307976383,0.2294271860950644,0.3694816497365865,0.35710695934250836,0.2257097534176604
model.model.8.m.0.cv3.conv,0.4393,0.436600989844025,0.5854193730132216,0.5050664399721136,0.550591595282252,0.46539245235191795,0.4539930598098098,0.3306222824029264,0.35330577400866825
model.model.8.m.0.m.0.cv1.conv,0.5102,0.6053064272423938,0.5284728524857056,0.5330422799362394,0.6346668981516342,0.6155710762618177,0.5769207874850218,0.43571747335087907,0.3911898585554484
model.model.8.m.0.m.0.cv2.conv,0.4563,0.3108515500434267,0.3175239330894061,0.3548457800270869,0.3551415692357628,0.5279733112267976,0.4856391076876436,0.3687338102149571,0.46707536095179625
model.model.8.m.0.m.1.cv1.conv,0.3791,0.4222060504754059,0.39729234626971294,0.3662341315752903,0.4049154199267332,0.34853165425777966,0.5010128315484901,0.5269874480742515,0.46081942657549047
model.model.8.m.0.m.1.cv2.conv,0.3867,0.4354873142573892,0.5373391944023382,0.5120431659708371,0.48550528746548627,0.5346937006428037,0.5370854718057121,0.4535715840569562,0.30000862983376847
model.model.9.cv1.conv,0.5852,0.5572565001699771,0.6148533294874362,0.7348497457425731,0.6750790433898035,0.590744073711375,0.6752465085997768,0.5023686476318089,0.551452045884708
model.model.9.cv2.conv,0.5429,0.5978992942181729,0.4867900621329923,0.549658031492638,0.4507751547972989,0.6029090518235438,0.5204205934730619,0.4926779054918347,0.4712279435059119
model.model.10.cv1.conv,0.4338,0.3827987550930879,0.47046212509357843,0.43913244194977985,0.31993952498849515,0.3354702430655176,0.5111488947062024,0.5459081909016698,0.34384360987326823
model.model.10.cv2.conv,0.3954,0.5106108321364939,0.3248393295232683,0.2585345498323032,0.4552905714553178,0.5005983325826885,0.4246717214127114,0.25609073838789453,0.3049193720730356
model.model.10.m.0.attn.qkv.conv,0.4836,0.37818066453387755,0.33320222551950235,0.590037437877285,0.56440814491836,0.46695634895261096,0.5627583187816053,0.6050612459413858,0.5332845463867446
model.model.10.m.0.attn.proj.conv,0.3663,0.2670096174690459,0.2849538537364241,0.45076940724382575,0.48201134469976337,0.4343099491330118,0.2988780024338437,0.22230165431919913,0.26849364608282256
model.model.10.m.0.attn.pe.conv,0.4897,0.6204033498782049,0.5829333855796255,0.5095170631974999,0.4434124252141086,0.564276091353637,0.3878277140350176,0.38079853040481526,0.5640696573095364
model.model.10.m.0.ffn.0.conv,0.267,0.3772034566449598,0.3935006459719294,0.216385673893416,0.31947302426813673,0.3556781219800224,0.2381974606477156,0.30341337992951073,0.11735849389861605
model.model.10.m.0.ffn.1.conv,0.3161,0.2466216394000199,0.3189353836791325,0.22549803490353407,0.3836773770839128,0.24727059479275115,0.2574595515459833,0.22005544868009053,0.2930230798130153
model.model.13.cv1.conv,0.5091,0.5268127994602398,0.3599213333860209,0.49025253353137804,0.39560757055590734,0.5707400158546968,0.48613895923201456,0.5110493809668365,0.569903461264019
model.model.13.cv2.conv,0.3867,0.4729608718106829,0.2856248602086163,0.28729189548850487,0.5165305037674142,0.24523498400189833,0.28927848838208975,0.44829664498686184,0.38521991718876325
model.model.13.m.0.cv1.conv,0.5525,0.6388884714923895,0.5278398965430935,0.6521592136509025,0.5633482610729608,0.5757493463163509,0.44108812266052355,0.6033819684365344,0.6586221525808766
model.model.13.m.0.cv2.conv,0.4109,0.42800241478621076,0.3124267273682481,0.45978326572007566,0.332750692497076,0.41327943219140073,0.5429934824356515,0.38567906734669233,0.43027003766662225
model.model.16.cv1.conv,0.5161,0.6498364064461473,0.5757933070759704,0.48649174829343056,0.630418977188815,0.5180254919282099,0.5200616707017767,0.5947654275998221,0.6572823607421294
model.model.16.cv2.conv,0.4454,0.3998893126170736,0.5311313973632883,0.33583851980152823,0.5507873885396444,0.3904575110705909,0.34443858126214055,0.5447452831957387,0.442193394512442
model.model.16.m.0.cv1.conv,0.5927,0.49637049125836746,0.5762075772458048,0.6130879577585283,0.6578994548652359,0.5666389297039272,0.5316575711960931,0.615199927672105,0.5583704369457881
model.model.16.m.0.cv2.conv,0.4828,0.4915447101007532,0.4323229127018425,0.40826830056216934,0.4742309076559779,0.3411828860423949,0.589678306359203,0.533458674225374,0.5705139343186287
model.model.17.conv,0.5336,0.4919170420066298,0.4865823761243633,0.5768892365380874,0.439759268734814,0.40276891951785077,0.5493919832107625,0.4167674104135853,0.5992270422997147
model.model.19.cv1.conv,0.4816,0.3476771975170473,0.3943514738262081,0.6228762626234556,0.5405951682995713,0.437387970213798,0.37921261060766825,0.3724545078150208,0.5244832110133342
