,nv_8x8_b1_dat-524288_wt-32768_int8,nv_8x8_b1_dat-1048576_wt-65536_int16,nv_8x16_b1_dat-2097152_wt-262144_int32,nv_16x16_b1_dat-524288_wt-65536_int8,nv_32x16_b1_dat-1048576_wt-131072_int16,nv_32x8_b1_dat-2097152_wt-131072_int32,nv_16x32_b1_dat-524288_wt-131072_int8,nv_32x32_b1_dat-1048576_wt-262144_int16,nv_32x32_b1_dat-2097152_wt-524288_int32
model.model.0.conv,0.0482,0.05781741844041705,0.0,0.012120417554740949,0.048065208960450787,0.08565854108236229,0.010345878814181135,0.09380470781781985,0.06348439536650516
model.model.1.conv,0.0379,0.0451862828987481,0.0649790578521239,0.0810361371799255,0.0,0.04932026634393379,8.93601392580462e-05,0.07881304185307914,0.0
model.model.2.cv1.conv,0.0462,0.08074142302843426,0.08699466504689565,0.09073732696015065,0.002633563121122749,0.01868856311692557,0.009689953938509847,0.0927549253438121,0.05593657341865896
model.model.2.cv2.conv,0.021,0.0,0.0,0.043158163438890104,0.05982780325879518,0.014938572511613606,0.068201243966029,0.0,0.056915830044275306
model.model.2.m.0.cv1.conv,0.0509,0.05328431900764225,0.02644208690896894,0.051050527016187786,0.06966506743090747,0.030041032903673708,0.015617418996832971,0.07987151622715513,0.05677401975300757
model.model.2.m.0.cv2.conv,0.0191,0.0,0.021629928031776546,0.020305225839673098,0.0686678285224136,0.0,0.025116452635818652,0.0,0.05418708820505355
model.model.3.conv,0.0204,0.026789939548057466,0.0,0.06907556519817451,0.0,0.0,0.01457445933776571,0.05820767438554455,0.011650186215899284
model.model.4.cv1.conv,0.0269,0.026641282960508564,0.06747826001470039,0.01162087513550538,0.006339296250911938,0.07741483528557214,0.04503721982126273,0.01939944329684673,0.006650988095938344
model.model.4.cv2.conv,0.0337,0.0,0.0,0.007715604067571477,0.0,0.077214826709382,0.07948274748649203,0.001505877810719064,0.020043094896307817
model.model.4.m.0.cv1.conv,0.0469,0.09004789981793518,0.05618732884698757,0.08162189619531901,0.04297575797704764,0.07815096487765447,0.07296010552215745,0.0897751463399036,0.07509014147553253
model.model.4.m.0.cv2.conv,0.0195,0.0,0.0,0.001871542943747164,0.005610428823429683,0.0,0.06530596921124827,0.03827150416049792,0.046220477750646194
model.model.5.conv,0.0635,0.08331450654775885,0.1152560538960023,0.03347635170465851,0.044418875369136156,0.03751749603567342,0.09702611814514828,0.017729734442014672,0.07427324378230477
model.model.6.cv1.conv,0.017,0.0,0.0,0.0,0.03822212046397081,0.0,0.03810383978450909,0.03872041036320365,0.04256903499875873
model.model.6.cv2.conv,0.0309,0.0,0.0776380272174749,0.040671174307849334,0.05642803872127447,0.04661022813913003,0.046842569699732245,0.0350746754080252,0.02189585879691144
model.model.6.m.0.cv1.conv,0.0427,0.016107743043370787,0.04847940675681096,0.08715482826635959,0.0500665731586817,0.0834874117765155,0.013814893679665423,0.03831918716765213,0.07288491895269256
model.model.6.m.0.cv2.conv,0.0282,0.0029606040019018315,0.0,0.010114203379254404,0.03703980358671731,0.0,0.04580121889889947,0.017796712170499353,0.053812829586080524
